1:32	東京特許許可局勤務の真珠	あ、観戦か
1:32	Ryu Windy	アイスを食べながれ麻雀を見つつ配信をする楠栞桜
1:32	くらつ	🤖仲間の観戦か
1:33	雨宮恵	AIだっけ
1:33	よっしー	ほうほう
1:34	はえよい	NAGAだ
1:34	かえるライダー	あの人か
1:34	ありにゃ	AI
1:35	Jジェイ	昨日打たせてもらいました
1:36	清水めだか	おおー
1:36	オーレウェルギウス	こんばんはー🌸
1:36	桑原みー	AIじゃなかった
1:36	FUJI-KEN POWER V	NAGA！麻雀AI
1:36	担々麺	こんばんはー
1:36	新田ガーデン	AI参加者の方か
1:37	あのんまのん	AIの子か
1:37	西都なつ	えっ？
1:37	童子切やすつな	こんばんわ～
1:37	太田の民	こんばんは
1:37	さみゅ	AI
1:39	ザクレロ	アイス歯滲みない？
1:39	Jジェイ	！！！？？？
1:39	shimo 636	草
1:40	シヴァ村卯月	消された・・・
1:40	black AYANE	ｗｗｗ
1:40	えいの	こんばんはー
1:40	まこだいあ	nagaさんや！
1:41	雨の宿り木	麻雀AIだ！
1:41	伊奈ぴょん	いらんで・・・
1:41	あまなつみかん	おまえら助かる
1:41	マイケル	こんばんはー。
1:42	kao v	🌹ＮＡＧＡさん🌹
1:42	ただのF	ガチAIか
1:42	陽炎	俺ら消された
1:43	いざよいさくや	麻雀AIだったか
1:43	にがうり	俺ら……消えるのか？
1:43	Fumy H	こんばんはー
1:43	Ryu Windy	そんなー
1:43	カンザキシン	てか歯医者いかんでアイス食うなよーｗ
1:43	氷水:ひすい	俺らいらんか？
1:43	妖精の灯り	俺ら消してけ～
1:44	かえるライダー	あ～～～～～
1:44	彗星夜	こんばんはー🌸
1:44	がっち	こんばんは
1:45	A kanata	消さないで
1:45	LOG	こんばんは🌸消された
1:45	とき	こんばんは
1:45	HAYASHI TTT	けされるぅ！
1:46	Leiros Skyly	こんばんはー🌸
1:46	トリウナギ	消されるまでもなかった
1:46	朝霧雷火	こんばんはー🌸
1:47	れいりす	【悲報】俺ら消える
1:47	Westeria	俺ら消された
1:47	keg-on{けごん}	こんばんは🌸
1:47	Shirina	床が消えた
1:48	拡散の尖兵	こんばんは
1:49	せしのれ	こんばんは～
1:49	レッドウッドへいぽう	お前ら～TT
1:49	ミポポ	はーーい
1:49	よっしー	こんばんは～🌸
1:49	棚。	こんばんわ
1:49	キラス	こんばんはー
1:50	ns zn	昨日はナーガちゃんにも勝てたのに…
1:50	司-つかさ-	こんばんわー🌸 消されたーw
1:50	オボン	こんばんは
1:50	ぶるーD	こんばんは
1:50	ささかま。	俺ら…消えるのか…？
1:50	mo's!	本物？
1:51	shigure tokiame	例のAIだ
1:51	あのにます	🤖🤖🤖🤖
1:51	トキサメ	[定期] 私ら消される
1:51	kuma kuma	こんばんは！
1:52	mischa's Lab.	栞桜対応助かる
1:52	なんか青い	消えるお前ら
1:53	たい焼き袋詰	こんばんは
1:53	かえるライダー	こんばんは🌸
1:53	ギンジ	こんばんはー
1:54	ことこと	NAGAさんさっき当たった
1:54	ハセマ・スネーク	俺らの扱いは変わらんなあ…
1:54	桑原みー	やっぱりAIだった
1:54	唐揚げ大好き	こんばんはー
1:54	白銀	こんばんは
