1:16	やまP	📷📷📷📷📷📷
1:17	める.	📸📸📸📸📸
1:17	si n	こんばんは～
1:17	ジャンクエンブレム	こんばんわ。
1:17	mo's!	裁判だー！！
1:17	ミキわっち	こんばんはー
1:17	IYH	死刑やろなあ
1:18	LOG	きちゃ
1:18	勝加齢	こんばんは〜
1:18	縞犬猫-shimainuneko-#鬼ノ子	こんばんは！🌸
1:19	キャットフィッシュ	こんばんは
1:19	さんたまりあ	わ！
1:19	MOTHERSHIP	こんばんはー🌸
1:19	煮餅	こんばんは
1:20	O I	隆晴「白鳥、有罪」
1:20	YN WA	📸📸📸📸📸📸📸📸
1:20	白もつ	ばんわー
1:20	F K	ご祝儀です	￥3,000
1:21	ヨシオ ESPERANZA CF	開廷する前から有罪
1:21	もやしもの	うーん有罪
1:21	ぬゐ	開廷！！！！
1:21	mu	白鳥プロおめでとうございます🎉	￥999
1:21	きむらあゆ	おかぴー
1:22	モジャンヌ	有罪！！
1:22	Akiteru Fjimoto	こんばんはー
1:23	感覚派	こんばんは～
1:23	としn	こんばんわ
1:23	さささしさすさせ	傍聴席代	￥500
1:24	うり犬	こんばんはー
1:24	のくと	開廷！
1:24	Astral Clover	お手柔らかに
1:24	ようすけ	白鳥くん？何か言うことはあるかい？	￥2,100
1:25	ネムレス	開廷！！
1:25	ほわちゃん	白鳥プロの異端審問会が始まる
1:25	つみっく	傍聴します	￥200
1:26	へいへい	松本プロー！がんばれーー！
1:26	はえよい	どんな空気で始まるのか楽しみ
1:26	mo's!	📸📸📸📸📸
1:26	ark0125	こんばんは🌸	￥3,000
1:27	ゆにユニ	開廷！！！
1:27	Orpheus1221	有罪！有罪！
1:27	かげちよ	こんばんはー🌸
1:28	ねこみらーじゅ	ほんとこの曲すき
1:28	ろき	裁判の傍聴始めてなんですけどポップコーンとか買ってきてもいいです？	￥1,140
1:28	ごくごく	こんばんは現代の魔女裁判楽しみ
1:28	ぷっしろ	こんばんは
1:28	key ton	法廷開始
1:29	はるめたる	こんばんは～🌸
1:29	やまP	こんばんはー🌸🌸🌸
1:29	ファンファン	こんばんは
1:29	あおみクリオネ	こんばんはー
1:29	おかぴー	やばたにえん
1:30	レッドウッドへいぽう	フライデーもきてるぞ
1:30	ぐっち〜。	開幕四千人いる傍聴席
1:31	カリメロ	顔面代	￥1,300
1:31	つぁいす	両プロのたくさんのご支援に感謝します	￥2,000
1:31	ぐぅたら	こんばんはー🌸	￥1,140
1:31	やまもん	すげぇスパチャ
1:32	彩りの民	コラボ記念	￥333
1:32	のらつづみ	開廷
1:32	法条裕一	こんばんわ～
1:32	いざよいさくや	📸🎙📸
1:33	むばぃん	こんばんは～🌸
1:33	鶏だしクリーミィ	こんばんは～🌸
1:33	アイラ	こんばんはー🌸
1:33	みつき	白鳥プロです
1:33	Hiroki Takahashi	📸📸📸📸📸📸📸📸📸📸📸📸📸
1:33	セラフィーウェア	こんばんはー🌸
1:33	かme	こんばんわー🌸
1:33	ばどらっく	こんばんはー🌸
1:33	広輪凪	コラボおめでとうさまです！	￥610
1:34	グリヴェン	こんばんは！
1:34	芝村	こんばんは～！
1:34	レッドウッドへいぽう	草
1:34	えびび大福	こ～んばんは～
1:34	綾ノ乃 四季	陪審員、席につくんだー
1:34	めたるLv1	こんばんは～🌸
1:34	marianne van tienen	こんばんはー🌸
1:34	MON JA	傍聴しまーす
1:34	mo's!	📸📸📸📸📸
1:35	たかちゃん	こんばんはー
1:35	ロザエ	こんばんは
1:35	Toccsch	裁判長、死刑で！
1:35	yu uuuji	白鳥の金玉引っこ抜けーー！！
1:35	うみにん	こんばんは
1:35	あおい	こんばんはー！🌸
1:35	帰宅RTA	開廷🔨
1:35	ずん	こんばんは🌸
1:36	もるぽん	こんばんは～
1:36	ぽっこらゆたんぽ	こんばんはー！！
1:37	雨の宿り木	おお！
1:37	天城久秀	12月からずっと魚谷プロ来てほしかったよー！！
1:37	ゴールデンレトリバー		￥1,140
1:37	ほしりん	こんばんは～
1:38	Fumy H	こんばんはー🌸
1:38	mezzoforte	大丈夫
1:38	レイザーRR	映ったー
1:38	ばるすん応援用	📸📸📸📸
1:38	北傘	こんばんはー
1:38	ゆういち	おおお
1:39	st we	こんばんは
1:39	トリウナギ	こんばんは～
1:39	rapid eye rabbit	こんばんは🌸
1:39	らん	こんばんは
1:40	アズキ	こんばんはー
1:40	やまP	こんばんはー🌸🌸
1:40	つぁいす	こんばんはーーーーー
1:40	レモン	こんばんは～🌸
1:40	nekokage猫影	こんばんはー🌸
1:41	クーニャ	こんばんはー🌸
1:41	十三姫	こんばんはー🌸
1:41	れめれめ	こんばんわー
1:41	古鉄	こんばんは🌸
1:41	ns zn	きこえるー
1:41	サナ	こんばんは
1:42	抹茶茶	草
1:43	クラインドルフ	白鳥プロ末永くお幸せに！魚谷プロも頑張ってください	￥200
1:43	アルゴノゥトチームGospel	こんばんはー🌸
1:43	sakura mituki	こんばんはー！
1:43	21	こんばんは🌸
1:43	みーや	こんばんは！🌸聞こえます！
1:44	ノーダ	こんばんは〜
1:44	帰宅RTA	こんばんは🌸
1:44	ななみさん	草
1:44	サイコロ	きちゃあああああああああ
1:44	ジャンクエンブレム	異端審問会の始まり！
1:44	シヴァ村卯月	こんばんわ～！！！！
1:45	けんてぃぃぃ	しょうちゃーーーん！！
1:45	Sadao Watanabe	被告人前へ
1:45	cycle	こんばんは
1:45	鹿児のもち	こんばんはー
1:46	鶏冠（とさか）	こんばんは🌸
1:47	カグファン	こんばんわー
1:47	ジャックダニエル	被告人
1:47	グリヴェン	裁判w
1:47	sakura mituki	白鳥さん？！
1:47	トゥートゥー	こんばんは～
1:47	sルーク	草
1:47	紫ユウキ	こんばんは🌸
1:47	GPE	わーわー
1:48	いつもの人	こんばんはー
1:48	永瀬智也		￥200
1:48	ええいああ	ギルティ
1:48	国士無双	こんばんは～　今日は楽しみにしていました！	￥300
1:49	にしまくら	開廷でーす
1:49	まこだいあ	こんばんはー
1:49	O B	こんばんは
1:49	Astral Clover	草
1:50	かわうそ56号	有罪ですわ
1:50	さっつん	ゆーみんさんもうわろてるｗ
1:50	国重	🔥白鳥🔥
1:50	おっ	ギルティ
1:50	テーク	おぉ～！
1:50	ロザエ	草
1:50	やまぶどう	楽しみにしてた！	￥200
1:51	77 dick-dastardly	うわ
1:51	ピコまろ	こんばんはー！
1:51	なーく	白鳥裁判だー！！
1:51	うさぎヤカン	草
1:52	Letes弐号	こんばんはー
1:52	Jippa	こんばんは
1:52	おおくそん	こんばんは！
1:52	レモン	開廷だぁぁぁぁぁぁ！
