2020/04/05 17:24:43.654	ほわちゃん	後二回	
2020/04/05 17:24:44.143	いざよいさくや	鳴かなかったのがここまで響くか	
2020/04/05 17:24:46.429	寿司丸	リャンカンチャンが埋まらない	
2020/04/05 17:24:46.917	飛鳥	新井さん張ってくれ…	
2020/04/05 17:24:47.211	天城久秀	テンパイできないのかー	
2020/04/05 17:24:49.773	Jジェイ	うわ...かなり厳しい	
2020/04/05 17:24:50.784	Tak庵[柚子栞桜味]	新井さん苦しいなぁ	
2020/04/05 17:24:53.428	司令_つかされい	無念すぎる	
2020/04/05 17:24:54.550	gaty fs	残り5枚・・・	
2020/04/05 17:24:55.382	なーく	あれでテンパイないのか	
2020/04/05 17:24:56.830	パイライトテディ	どうなる	
2020/04/05 17:24:57.382	ひっきー	あぁ・・	
2020/04/05 17:24:58.841	raizoらいぞう	この3000点差の2着はくやしいな	
2020/04/05 17:25:00.225	やまP	ひけねえ・・・・	
2020/04/05 17:25:00.908	レモン	うわー	
2020/04/05 17:25:02.132	琵琶丸	あがー	
2020/04/05 17:25:02.210	やあけ	谷井さんすげえな	
2020/04/05 17:25:03.217	MiZKi	5山	
2020/04/05 17:25:06.224	ほわちゃん	まだ引ける！	
2020/04/05 17:25:06.596	rapid eye rabbit	きついな	
2020/04/05 17:25:08.550	あおいの	めっちゃ手ふるえとる新井さん	
2020/04/05 17:25:09.944	れめ れめ	うわー	
2020/04/05 17:25:10.171	gaty fs	残り4枚・・・	
2020/04/05 17:25:14.340	ななみさん	うわうわ	
2020/04/05 17:25:15.487	MiZKi	ラストチャンス	
2020/04/05 17:25:16.211	FJK エンタメ	おい聴牌……	
2020/04/05 17:25:16.423	sルーク	きつすぎる	
2020/04/05 17:25:16.724	くろしば	うわー	
2020/04/05 17:25:17.377	パイライトテディ	日吉さんの実況おもしろい	
2020/04/05 17:25:19.031	司令_つかされい	ラス１	
2020/04/05 17:25:20.664	ザッハトルテ。	ああー	
2020/04/05 17:25:21.635	rapid eye rabbit	うーん	
2020/04/05 17:25:23.731	トゥートゥー	つらい・・・	
2020/04/05 17:25:25.351	とりあたま	テンパれない・・・	
2020/04/05 17:25:25.889	天城久秀	うわー	
2020/04/05 17:25:25.812	たい焼き袋詰	うわー	
2020/04/05 17:25:26.143	vanishinggift	ええ・・・	
2020/04/05 17:25:26.381	ほわちゃん	引ける，絶対引ける！	
2020/04/05 17:25:26.428	桜もち	ラスツモ4山…	
2020/04/05 17:25:30.110	ひっきー	どうなる・・・	
2020/04/05 17:25:31.203	レモン	うっわ	
2020/04/05 17:25:36.219	sa	うわー	
2020/04/05 17:25:38.592	琵琶丸	ダメかー！？	
2020/04/05 17:25:38.889	司令_つかされい	５ｐに泣く	
2020/04/05 17:25:43.694	raizoらいぞう	おおおおお	
2020/04/05 17:25:44.453	いざよいさくや	これは谷井プロの絞りが上手かった	
2020/04/05 17:25:44.785	mother ship	うおぉ！	
2020/04/05 17:25:46.545	ほわちゃん	張った！！！！！	
2020/04/05 17:25:47.416	gaty fs	引いた！！！	
2020/04/05 17:25:48.091	ななみさん	うおおおおおお	
2020/04/05 17:25:48.467	FJK エンタメ	ノーテン…？	
2020/04/05 17:25:48.546	れめ れめ	まじかよ	
2020/04/05 17:25:48.820	21	おお！	
2020/04/05 17:25:48.964	Nights -O	おおー１	
2020/04/05 17:25:48.969	Jジェイ	おおおおおおおおおおおお	
2020/04/05 17:25:49.415	したじきかぐや	うおおおおおおおおおおおおおお	
2020/04/05 17:25:49.624	あい	すご！	
2020/04/05 17:25:49.780	Jippa	すげぇ	
2020/04/05 17:25:50.336	MiZKi	セーフ！	
2020/04/05 17:25:50.489	LOG	おおおおおおおおおおおお	
2020/04/05 17:25:50.465	ちゃぼうず_cyabouzu	世界の皆さんｗｗｗ	
2020/04/05 17:25:51.018	鹿児のもち	ひいた！	
2020/04/05 17:25:51.454	十三姫	お	
2020/04/05 17:25:51.539	ザッハトルテ。	お	
2020/04/05 17:25:51.725	此処葉	おお	
2020/04/05 17:25:51.932	くろしば	おおおおおおお	
2020/04/05 17:25:51.991	飛鳥	おおおおおおおおおお	
2020/04/05 17:25:52.032	パイライトテディ	聴牌した！！！	
2020/04/05 17:25:52.276	Tak庵[柚子栞桜味]	はった！！	
2020/04/05 17:25:52.720	ruska	うおお	
2020/04/05 17:25:52.808	ケバブ	おぉ！	
2020/04/05 17:25:53.190	雨宮恵	おおー！	
2020/04/05 17:25:53.436	sルーク	きたああああああああ	
2020/04/05 17:25:54.527	北傘	聴牌した！	
2020/04/05 17:25:54.665	たい焼き袋詰	おお！	
2020/04/05 17:25:54.995	ことこと	おお！	
2020/04/05 17:25:55.096	花吹雪	世界の皆さん！！	
2020/04/05 17:25:55.607	月十字	繋がった	
2020/04/05 17:25:55.678	テーク	おぉ～	
2020/04/05 17:25:55.758	鶏だしクリーミィ	やったーー！	
2020/04/05 17:25:55.581	Tru Ar	すげえ	
2020/04/05 17:25:55.963	いざよいさくや	！？	
2020/04/05 17:25:55.954	したじきかぐや	世界の皆さんｗｗｗｗ	
2020/04/05 17:25:55.981	サナ	おぉ	
2020/04/05 17:25:56.334	mo's!	聴牌したああああ！！！！	
2020/04/05 17:25:56.538	vanishinggift	張ったあああああああああ	
2020/04/05 17:25:57.023	トゥートゥー	きた！	
2020/04/05 17:25:57.514	もるぽん	ぎりぎりー！	
2020/04/05 17:25:57.619	司令_つかされい	粘った	
2020/04/05 17:25:57.650	うみとり	うおおおおおおおお	
2020/04/05 17:25:57.500	tem9	せーふ！	
2020/04/05 17:25:57.814	HAR	あっぶねえええええ	
2020/04/05 17:25:57.904	みやまちかげ	間に合った！	
2020/04/05 17:25:57.982	うれいし	はった！	
2020/04/05 17:25:57.987	まっちゃ	うおおおお	
2020/04/05 17:25:58.949	トリフネ	テンパイした	
2020/04/05 17:25:59.031	寿司丸	世界の皆さん！！	
2020/04/05 17:25:59.211	ザッハトルテ。	おおおおお	
2020/04/05 17:25:59.215	ばどらっく	！！！	
2020/04/05 17:25:59.543	銀河美少年	おおおおお	
2020/04/05 17:25:59.589	pv order	おおおお	
2020/04/05 17:25:59.505	si n	ここで	
2020/04/05 17:26:01.107	Tru Ar	ひくかｗ	
2020/04/05 17:26:01.518	Tak庵[柚子栞桜味]	世界の皆さんｗ	
2020/04/05 17:26:01.633	やまP	ええ	
2020/04/05 17:26:01.228	MiZKi	これは大きいツモ	
2020/04/05 17:26:01.628	さっつん	ふええ	
2020/04/05 17:26:02.006	くろしば	世界の皆さんｗｗｗｗｗ	
2020/04/05 17:26:02.011	天城久秀	世界のみなさんw	
2020/04/05 17:26:02.444	バルビン	おおおおあぶね	
2020/04/05 17:26:02.607	あよ	これは凄い！	
2020/04/05 17:26:03.001	暁宵	すげえな	
2020/04/05 17:26:02.968	ちゃんちゃんしおしお	おお～	
2020/04/05 17:26:03.449	ダンくま	うおおおおおおおおおおおおおおおおお	
2020/04/05 17:26:03.642	さーもばりっく あっと 大艦巨砲主義	セーフ！！	
2020/04/05 17:26:04.110	KA A	やった！！	
2020/04/05 17:26:04.206	ひっきー	ぉぉお	
2020/04/05 17:26:05.124	孤高の探索者	ギリギリでしたね…	
2020/04/05 17:26:05.196	あい	繋げた！	
2020/04/05 17:26:05.350	トリフネ	あっぶね	
2020/04/05 17:26:05.516	rapid eye rabbit	世界の皆さん！！	
2020/04/05 17:26:05.618	桑原みー	世界の皆さんw	
2020/04/05 17:26:05.867	ark0125	おお	
2020/04/05 17:26:05.816	21	すっごい	
2020/04/05 17:26:05.871	レモン	うおおおおおおおおお	
2020/04/05 17:26:06.428	BLACK. OS	すっげ	
2020/04/05 17:26:07.198	飛鳥	すげえ	
2020/04/05 17:26:07.220	koai777	日吉さん何なんだｗｗｗ	
2020/04/05 17:26:07.790	雨宮恵	ギリギリで引けるのすごい	
2020/04/05 17:26:08.014	やまぶどう	間に合った！	
2020/04/05 17:26:08.223	鑪船	せーふ！	
2020/04/05 17:26:08.533	MiZKi	しかも1人聴牌ならトップ？	
2020/04/05 17:26:08.612	司令_つかされい	感動した	
2020/04/05 17:26:08.523	Jジェイ	これはすごい！！！	
2020/04/05 17:26:09.052	ザッハトルテ。	あぶねえええええ	
2020/04/05 17:26:09.201	なーく	はった！	
2020/04/05 17:26:10.027	ひっきー	世界に向けて	
2020/04/05 17:26:10.238	FJK エンタメ	聴牌！！！	
2020/04/05 17:26:10.407	フリューゲル	すごい	
2020/04/05 17:26:10.603	花吹雪	どうてん！！	
2020/04/05 17:26:10.748	しんたろ	つええ	
2020/04/05 17:26:11.377	井之内蛙	ギリギリセーフ！！！	
2020/04/05 17:26:11.544	ガジュライ	まにあった	
2020/04/05 17:26:11.617	TMTあんばー	おおお	
2020/04/05 17:26:11.747	レモン	世界の皆さんｗｗｗｗｗｗ	
2020/04/05 17:26:12.203	琵琶丸	やったあああああ！	
2020/04/05 17:26:12.183	のぎす	テンパイした！	
2020/04/05 17:26:12.946	Nights -O	ギリギリできちゃー	
2020/04/05 17:26:13.998	ぷっしろ	おおおおお	
2020/04/05 17:26:14.123	sora neko	世界の皆さんありがとうございますｗ	
2020/04/05 17:26:13.785	ぐちを。	ありがとうございます！	
2020/04/05 17:26:15.315	やまP	ギリギリ	
2020/04/05 17:26:16.217	なじー	せかいのみなさんｗ	
2020/04/05 17:26:16.425	S T	引いた！	
2020/04/05 17:26:16.569	古鉄	おひょー	
2020/04/05 17:26:16.574	MiZKi	同点か！	
2020/04/05 17:26:17.035	アルバートベーコン	世界の皆さんｗｗｗｗ	
2020/04/05 17:26:17.186	ありあす	世界の皆さんw	
2020/04/05 17:26:17.559	FJK エンタメ	世界の皆さんｗｗｗ	
2020/04/05 17:26:17.897	えむ えむ	ありがとうございますｗｗｗ	
2020/04/05 17:26:17.858	ns zn	草	
2020/04/05 17:26:17.711	唐揚げ大好き	すっげーーー	
2020/04/05 17:26:18.280	琵琶丸	世界の皆さんｗ	
2020/04/05 17:26:18.183	レッドウッドへいぽう	テンパイしたああああ	
2020/04/05 17:26:18.754	せしのれ	世界の皆さんｗ	
2020/04/05 17:26:18.748	やあけ	ぎりぎり	
2020/04/05 17:26:18.801	sa	てんぱいした！	
2020/04/05 17:26:18.885	Cloelia	世界の皆さんｗ	
2020/04/05 17:26:20.438	Orpheus1221	世界の皆さんwwwww	
2020/04/05 17:26:20.506	サナ	あつい	
2020/04/05 17:26:20.601	いざよいさくや	世界の新井プロファンが泣いた	
2020/04/05 17:26:20.751	vanishinggift	よーいドンだ	
2020/04/05 17:26:20.913	フワンテ	世界の皆さんｗ	
2020/04/05 17:26:21.306	ほわちゃん	これで，近藤プロの条件緩和	
2020/04/05 17:26:21.724	ruska	同点！？	
2020/04/05 17:26:22.176	鶏だしクリーミィ	全視聴者に見守られたケーテン	
2020/04/05 17:26:22.232	corg	なんて大きいテンパイ	
2020/04/05 17:26:22.326	れめ れめ	すごすぎる	
2020/04/05 17:26:23.553	唐揚げ大好き	間に合ったー	
2020/04/05 17:26:23.845	トリフネ	同点ｗ	
2020/04/05 17:26:24.721	gaty fs	ラスツモでテンパイ、これは燃える・・・！	
2020/04/05 17:26:24.919	ミーアキャット	世界の皆さんｗｗｗｗ	
2020/04/05 17:26:25.820	ばどらっく	展開アツ過ぎるやん	
2020/04/05 17:26:26.085	raizoらいぞう	これは見ててワクワクするなｗ	
2020/04/05 17:26:26.636	ひこたろ	すごい	
2020/04/05 17:26:28.632	S T	世界の皆さんは草	
2020/04/05 17:26:28.940	kafeore2001	マジカ	
2020/04/05 17:26:29.558	カナデ	世界のみなさん！！	
2020/04/05 17:26:29.563	琵琶丸	すごい！	
2020/04/05 17:26:31.084	shigure tokiame	世界の皆さんｗ	
2020/04/05 17:26:31.909	sルーク	世界の皆さん！	
2020/04/05 17:26:32.832	森林	世界の皆さん！	
2020/04/05 17:26:33.277	りでぃ	主人公補正ついてるｗ	
2020/04/05 17:26:33.280	天城久秀	同点なら着順ですよね	
2020/04/05 17:26:33.455	あよ	あっついなあ	
2020/04/05 17:26:33.698	Levithtuttgart	同店すっご	
2020/04/05 17:26:33.739	ユウマメン	つながった	
2020/04/05 17:26:35.950	ひこたろ	なんでひけるの	
2020/04/05 17:26:36.158	mother ship	オーラス絶対ドラマあるな	
2020/04/05 17:26:37.401	テーク	麻雀すごいなぁ	
2020/04/05 17:26:37.521	はづ	世界の皆さんで草	
2020/04/05 17:26:39.927	琵琶丸	同点！	
2020/04/05 17:26:42.705	rapid eye rabbit	盛り上がってまいりました	
2020/04/05 17:26:43.097	蟹鮪三郎	ゲキアツのノーテン罰符	
2020/04/05 17:26:43.238	MiZKi	日吉さん本当にしゃべりが乗ってきてるｗ	
2020/04/05 17:26:43.734	Tru Ar	みんな助かってるのがほんと	
2020/04/05 17:26:44.014	Jippa	おおお	
2020/04/05 17:26:44.323	FJK エンタメ	聴牌料入ったかな	
2020/04/05 17:26:44.519	くろしば	アガリ止めアリでしたっけ？	
2020/04/05 17:26:45.179	雨宮恵	草	
2020/04/05 17:26:48.537	此処葉	うわ	
2020/04/05 17:26:48.789	ぷるぷる運輸倉庫	阿賀さん三倍満	
2020/04/05 17:26:49.323	ザッハトルテ。	ナベアツｗ	
2020/04/05 17:26:50.887	ぐちを。	近藤スペシャルこい	
2020/04/05 17:26:51.054	BLACK. OS	なべあつは草	
2020/04/05 17:26:51.298	vanishinggift	阿賀さんかわいそう	
2020/04/05 17:26:51.694	Nights -O	世界の皆さんww	
