3:11	帝龍姫	見通し甘いねぇ
3:12	ori ori	草
3:12	T M	草
3:12	ばどらっく	どんどん短くなっていくｗ
3:12	レプタイル	草
3:12	みなせ	みんな見通し甘くて草
3:12	ぎんいろ	草
3:12	Westeria	なんでどんどん縮むのか
3:13	たいし76567	大丈夫です
3:13	トリウナギ	見通しが甘し定期
3:15	ザクレロ	見通し甘いやつしかいない
3:15	雨の宿り木	馬鹿ｗｗ
3:15	みーや	経験者は語る
3:15	沢柳水面	幼女の感想文助かる
3:15	ザッハトルテ。	幼女寝そう
3:16	司令_つかされい	大きいので音割れしてる
3:16	ほぷる	初耐久！
3:16	南四暗緊急事態	あめぇんだよなぁ…
3:16	ダンくま	見通しｗ
3:17	つきもぐら2	キャーミー！
3:17	十三姫	さすがルイスさん、強気
3:17	なじー	どんどん短くなるｗ
3:18	トンキン湾の人喰い虎	眠くなっちゃうからね
3:18	やまP	あほw
3:18	〆作	2時間は厳しいなｗ
3:18	kuromen	二時間で終わるといいねー(棒
3:18	SATOU	かわヨ
3:18	あくえり	寝そう
3:18	ね ゙え ゙え ゙	草
3:18	あい	速攻で三暗刻決めればいけるぞ！
3:18	シロイルカ	10時間でもおかしくない
3:18	sa	草
3:18	昼行燈	草
3:19	カラスは可愛いのですよ?	なるほど、全部足せば１２時間くらいか？
3:19	鯖寿司	がんばってください！
3:19	きなこなこ	まず役満がやばい
3:21	ハギワラアオイ	草
3:21	順平	草
3:21	キラーT細胞	草
3:22	ばどらび	終わったらケチャながそ！
3:22	まっしゅ	ルイス寝そう
3:23	shigure tokiame	初耐久がこれかｗ
3:23	みやまちかげ	ルイス寝たいだけやろ！
3:23	【】火畜のヒモ【】	初耐久の難易度
3:23	氷水	２時間なんて耐久じゃないじゃん
3:23	ロザエ	見通しが甘い
3:24	ふぁりゅ	2時間w
3:24	まひろ。	2
3:25	Astral Clover	頑張れ！
3:25	此処葉	がんばろう
3:30	wildcat5314	お嬢様？
3:30	巫女萃香「みこすいか」	リアルゴールド準備しましたか？
3:30	一方通行	がんばれー(^^♪
3:31	roll	見通しが甘い😡😡
3:31	Nights -O	がんばれ〜
3:31	ルィス	初耐久がクリア麻雀
3:31	びーふにーたー	見通しの甘さなら舞元も負けてないぞ！
3:33	アイリス	数時間後そこにはすやすやなルイスの姿が
3:34	兗州東郡程昱	Ark戦争途中で寝てるしねｗｗ
3:34	岩ネコ	幼女が眠くなるまでにクリアしよう
3:34	keg-on	初耐久でおっさん3人に囲まれる幼女か…
3:35	長々	ルイスさん眠いんか？ｗｗｗ
3:36	甘木	#
3:36	昼行燈	舞元にまで言われる見通しの甘さ
3:36	みかんみかん	見る方も耐久だな！
3:38	りょう wwじゅうごちゃい!!	舞元に見通しの話はされたくないなぁ
3:38	ずん	安心と信頼の「見通しが悪い」
3:38	醤油砂糖	二時間とか4局くらいしかできんぞ
3:39	FJK エンタメ	耐久の世界を知らん子か
